"store","upc","week","move","price","sale","profit","brand","packsize","itemsize","units"
86,"1820000016",91,23,3.49,"",19.05,"BUDWEISER BEER","6","12","oz"
86,"1820000784",91,9,3.79,"",28.23,"O'DOUL'S N/A LONGNEC","6","12","oz"
86,"1820000834",91,9,3.69,"",22.03,"BUDWEISER BEER LONG","6","12","oz"
86,"1820000987",91,78,3.29,"B",5.78,"MICHELOB REGULAR BEE","6","12","oz"
86,"3410000354",91,35,3.69,"",22.98,"MILLER LITE BEER","6","12","oz"
86,"3410000554",91,12,3.69,"",22.98,"MILLER GENUINE DRAFT","6","12","oz"
86,"3410001505",91,10,3.69,"",20.95,"MILLER HIGH LIFE LNN","6","12","oz"
86,"3410010505",91,13,3.79,"",23.96,"MILLER SHARP'S N/A L","6","12","oz"
86,"3410015505",91,28,3.69,"",22.36,"MILLER GEN DRFT LT L","6","12","oz"
86,"3410017505",91,56,3.69,"",20.95,"MILLER GEN DRFT LNNR","6","12","oz"
86,"3410017525",91,3,3.69,"",22.98,"MILLER GENUINE DRAFT","6","12","oz"
86,"3410021505",91,13,3.99,"",21.68,"LOWENBRAU BEER NR BT","6","12","oz"
86,"3410057505",91,45,3.69,"",20.95,"MILLER LITE LONGNECK","6","12","oz"
86,"3410057525",91,2,3.69,"",22.98,"MILLER LITE BEER N.R","6","12","oz"
86,"7289000011",91,23,6.19,"",15.96,"HEINEKEN BEER N.R.BT","6","12","oz"
86,"7336011751",91,45,3.49,"",19.71,"OLD STYLE BEER","6","12","oz"
86,"8066095605",91,13,5.79,"",14.94,"CORONA EXTRA BEER NR","6","12","oz"
86,"8248812345",91,26,4.99,"B",4.25,"BECK'S REG BEER NR B","6","12","oz"
86,"8417330130",91,5,3.99,"",18.55,"BERGHOFF REGULAR BEE","6","12","oz"
86,"1820000016",92,46,3.49,"",19.05,"BUDWEISER BEER","6","12","oz"
86,"1820000784",92,7,3.79,"",28.23,"O'DOUL'S N/A LONGNEC","6","12","oz"
86,"1820000834",92,13,3.69,"",22.03,"BUDWEISER BEER LONG","6","12","oz"
86,"1820000987",92,23,3.99,"",22.31,"MICHELOB REGULAR BEE","6","12","oz"
86,"3410000354",92,44,3.69,"",22.98,"MILLER LITE BEER","6","12","oz"
86,"3410000554",92,22,3.69,"",22.98,"MILLER GENUINE DRAFT","6","12","oz"
86,"3410001505",92,10,3.69,"",20.95,"MILLER HIGH LIFE LNN","6","12","oz"
86,"3410010505",92,19,3.79,"",23.96,"MILLER SHARP'S N/A L","6","12","oz"
86,"3410015505",92,1,3.69,"",22.36,"MILLER GEN DRFT LT L","6","12","oz"
86,"3410017505",92,29,3.69,"",20.95,"MILLER GEN DRFT LNNR","6","12","oz"
86,"3410017525",92,95,2.99,"B",4.95,"MILLER GENUINE DRAFT","6","12","oz"
86,"3410021505",92,21,3.99,"",21.68,"LOWENBRAU BEER NR BT","6","12","oz"
86,"3410057505",92,36,3.69,"",20.95,"MILLER LITE LONGNECK","6","12","oz"
86,"3410057525",92,65,2.99,"B",4.95,"MILLER LITE BEER N.R","6","12","oz"
86,"7289000011",92,19,6.19,"",15.96,"HEINEKEN BEER N.R.BT","6","12","oz"
86,"7336011751",92,59,3.49,"",19.71,"OLD STYLE BEER","6","12","oz"
86,"8066095605",92,24,5.79,"",14.94,"CORONA EXTRA BEER NR","6","12","oz"
86,"8248812345",92,12,6.19,"",15.96,"BECK'S REG BEER NR B","6","12","oz"
86,"8417330130",92,7,3.99,"",18.55,"BERGHOFF REGULAR BEE","6","12","oz"
86,"1820000016",93,47,3.49,"",19.05,"BUDWEISER BEER","6","12","oz"
86,"1820000784",93,12,3.79,"",28.23,"O'DOUL'S N/A LONGNEC","6","12","oz"
86,"1820000834",93,26,3.69,"",22.03,"BUDWEISER BEER LONG","6","12","oz"
