store_id,city,price_tier,zone,zip,address,latitude,longtitude,geo_address
2,River Forest,high,1,60305,7501 W North Ave,41.9084242,-87.8128299,"7501 w north ave, river forest, il 60305, usa"
5,Palatine,medium,2,60067,223 Northwest HWY,42.1145705,-88.0336761,"223 n northwest hwy, palatine, il 60067, usa"
8,Oak Lawn,low,5,60435,8700 S Cicero Ave,41.7338246,-87.7434269,"8700 s cicero ave, oak lawn, il 60453, usa"
9,Morton Grove,medium,2,60053,6931 Dempster,42.0405585,-87.79858050000001,"6931 dempster street, morton grove, il 60053, usa"
12,Chicago,high,7,60660,6009 N Broadway Ave,41.9911439,-87.6598084,"6009 north broadway, chicago, il 60660, usa"
14,Glenview,high,1,60025,1020 Waukegan Rd,42.0736949,-87.7995409,"1020 waukegan rd, glenview, il 60025, usa"
18,River Grove,low,5,60171,8355 W Belmont Ave,41.9375354,-87.8350439,"ross, 8355 w belmont ave, river grove, il 60171, usa"
21,Hanover Park,cub_fighter,6,60103,1440 irving Park Rd,42.006254,-88.142392,"1440 irving park rd, streamwood, il 60107, usa"
28,Mt Prospect,medium,2,60054,114555 Mt Prospect Pz,42.0656567,-87.9360653,"10 s emerson st, mt prospect, il 60056, usa"
32,Park Ridge,high,1,60068,1900 S Cumberland Ave,41.9871968,-87.83793779999999,"1900 s cumberland ave, park ridge, il 60068, usa"
33,Chicago,high,7,60657,3012 N Broadway Ave,41.9372562,-87.6447185,"3012 north broadway, chicago, il 60657, usa"
40,Bridgeview,cub_fighter,6,60455,8825 S Harlem Ave,41.7311684,-87.7974397,"8825 harlem ave, bridgeview, il 60455, usa"
44,Western Spring,medium,2,60558,14 Garden Market St,41.802961,-87.889742,"14 garden market st, western springs, il 60558, usa"
45,Wheeling,medium,2,60090,550 W Dundee Road,42.140539,-87.93043039999999,"550 w dundee rd, wheeling, il 60090, usa"
47,Addison,medium,2,60101,545 W Lake St,41.9365041,-88.0029473,"545 w lake st, addison, il 60101, usa"
48,Schaumburg,medium,2,60193,20 E Golf Rd,42.0495201,-88.0782685,"20 e golf rd, schaumburg, il 60173, usa"
49,Downers Grove,medium,2,60515,120 E Ogden Ave,41.811094800000014,-87.9886533,"120 ogden ave, downers grove, il 60515, usa"
50,Hickory Hills,medium,2,60457,8631 W 95th St,41.7171473,-87.8340731,"8631 95th st, hickory hills, il 60457, usa"
51,Palos Heights,medium,3,60463,6401 W 127th St,41.6595498,-87.7782721,"6401 w 127th st, palos heights, il 60463, usa"
52,Northbrook,high,1,60062,4125 Dundee Rd,42.1391384,-87.8769069,"dundee road, northbrook, il 60062, usa"
53,Chicago,high,7,60062,3145 W Pratt Ave,42.0043079,-87.811612,"w pratt ave, chicago, il 60631, usa"
54,Naperville,medium,2,60540,1295 E Ogden Ave,41.7975049,-88.1225036,"1295 e ogden ave, naperville, il 60563, usa"
56,Countryside,medium,2,60525,6704 Joliet Rd,41.7690676,-87.8886691,"6704 joliet rd, countryside, il 60525, usa"
59,Crystal Lake,cub_fighter,6,60014,6000 Northwest HWY,42.2276259,-88.31279219999999,"6000 northwest hwy, crystal lake, il 60014, usa"
