week_id,start_of_week,end_of_week,holiday_type,holiday_date
1,1989-09-14,1989-09-20,NA,NA
2,1989-09-21,1989-09-27,NA,NA
3,1989-09-28,1989-10-04,NA,NA
4,1989-10-05,1989-10-11,USColumbusDay,1989-10-09
5,1989-10-12,1989-10-18,NA,NA
6,1989-10-19,1989-10-25,NA,NA
7,1989-10-26,1989-11-01,USHalloween,1989-10-31
8,1989-11-02,1989-11-08,USElectionDay,1989-11-07
9,1989-11-09,1989-11-15,USVeteransDay,1989-11-11
10,1989-11-16,1989-11-22,NA,NA
11,1989-11-23,1989-11-29,USThanksgivingDay,1989-11-23
12,1989-11-30,1989-12-06,NA,NA
13,1989-12-07,1989-12-13,NA,NA
14,1989-12-14,1989-12-20,NA,NA
15,1989-12-21,1989-12-27,USChristmasDay,1989-12-25
16,1989-12-28,1990-01-03,USNewYearsDay,1990-01-01
17,1990-01-04,1990-01-10,NA,NA
18,1990-01-11,1990-01-17,USMLKingsBirthday,1990-01-15
19,1990-01-18,1990-01-24,USInaugurationDay,1990-01-20
20,1990-01-25,1990-01-31,NA,NA
21,1990-02-01,1990-02-07,NA,NA
22,1990-02-08,1990-02-14,USLincolnsBirthday,1990-02-12
23,1990-02-15,1990-02-21,USPresidentsDay,1990-02-19
24,1990-02-22,1990-02-28,USWashingtonsBirthday,1990-02-22
25,1990-03-01,1990-03-07,USCPulaskisBirthday,1990-03-05
26,1990-03-08,1990-03-14,NA,NA
27,1990-03-15,1990-03-21,NA,NA
28,1990-03-22,1990-03-28,NA,NA
29,1990-03-29,1990-04-04,NA,NA
30,1990-04-05,1990-04-11,NA,NA
31,1990-04-12,1990-04-18,USGoodFriday,1990-04-13
32,1990-04-19,1990-04-25,NA,NA
33,1990-04-26,1990-05-02,NA,NA
34,1990-05-03,1990-05-09,NA,NA
35,1990-05-10,1990-05-16,NA,NA
36,1990-05-17,1990-05-23,NA,NA
37,1990-05-24,1990-05-30,"USDecorationMemorialDay, USMemorialDay","1990-05-30, 1990-05-28"
38,1990-05-31,1990-06-06,NA,NA
39,1990-06-07,1990-06-13,NA,NA
40,1990-06-14,1990-06-20,NA,NA
41,1990-06-21,1990-06-27,NA,NA
42,1990-06-28,1990-07-04,USIndependenceDay,1990-07-04
43,1990-07-05,1990-07-11,NA,NA
44,1990-07-12,1990-07-18,NA,NA
45,1990-07-19,1990-07-25,NA,NA
46,1990-07-26,1990-08-01,NA,NA
47,1990-08-02,1990-08-08,NA,NA
48,1990-08-09,1990-08-15,NA,NA
49,1990-08-16,1990-08-22,NA,NA
50,1990-08-23,1990-08-29,NA,NA
51,1990-08-30,1990-09-05,USLaborDay,1990-09-03
52,1990-09-06,1990-09-12,NA,NA
53,1990-09-13,1990-09-19,NA,NA
54,1990-09-20,1990-09-26,NA,NA
55,1990-09-27,1990-10-03,NA,NA
56,1990-10-04,1990-10-10,USColumbusDay,1990-10-08
57,1990-10-11,1990-10-17,NA,NA
58,1990-10-18,1990-10-24,NA,NA
59,1990-10-25,1990-10-31,USHalloween,1990-10-31
60,1990-11-01,1990-11-07,USElectionDay,1990-11-06
61,1990-11-08,1990-11-14,USVeteransDay,1990-11-11
62,1990-11-15,1990-11-21,NA,NA
63,1990-11-22,1990-11-28,USThanksgivingDay,1990-11-22
64,1990-11-29,1990-12-05,NA,NA
65,1990-12-06,1990-12-12,NA,NA
66,1990-12-13,1990-12-19,NA,NA
67,1990-12-20,1990-12-26,USChristmasDay,1990-12-25
68,1990-12-27,1991-01-02,USNewYearsDay,1991-01-01
69,1991-01-03,1991-01-09,NA,NA
70,1991-01-10,1991-01-16,NA,NA
71,1991-01-17,1991-01-23,"USInaugurationDay, USMLKingsBirthday","1991-01-20, 1991-01-21"
72,1991-01-24,1991-01-30,NA,NA
73,1991-01-31,1991-02-06,NA,NA
