gvkey,conm,price_2019,price_2020,price_2021,price_2022,price_2023,price_2024,eps_2019,eps_2020,eps_2021,eps_2022,eps_2023,eps_2024
272690,1300 SMILES LTD,6.28,6.11,8.1,NA,NA,NA,0.3282,0.3018,0.4065,NA,NA,NA
327267,1414 DEGREES LTD,0.2,0.135,0.1,0.076,0.04,0.067,-0.0258,-0.0165,-0.0311,-0.0068,-0.0091,-0.0107
349318,29METALS LIMITED,NA,NA,2.74,1.185,0.375,NA,NA,NA,0.4857,-0.0981,-0.7986,NA
284698,3D ENERGI LIMITED,0.08,0.065,0.057,0.053,0.056,0.07,-0.0042,-0.0113,-0.0043,-0.0043,0.0129,-0.0075
346142,3D METALFORGE LIMITED,NA,NA,0.046,NA,NA,NA,NA,NA,-0.0309,NA,NA,NA
317959,3P LEARNING LTD,0.865,1.33,1.205,1.4,1.27,1.02,0.0424,0.0111,-0.0615,-0.0019,0.023,-0.2077
253413,3Q HOLDINGS LTD,NA,NA,NA,NA,NA,NA,0.0022,-0.1116,0.0355,0.013,NA,NA
339106,4DMEDICAL LTD,NA,1.7,1.465,0.58,0.45,0.675,NA,NA,-0.0819,-0.0835,-0.1049,-0.0971
314650,4DS MEMORY LTD,0.068,0.062,0.14,0.025,0.135,0.084,-0.0057,-0.0048,-0.0051,-0.0048,-0.0038,-0.0031
324960,5E ADVANCED MATERIALS INC,NA,NA,NA,10.16,2.26,0.54,NA,NA,NA,-1.63,-0.7,-1.18
325746,5G NETWORKS LIMITED,0.765,1.58,0.94,0.14,0.125,0.1475,NA,NA,NA,-0.0855,-0.0579,-0.0836
253429,88 ENERGY LTD,0.021,0.069,0.017,0.009,0.005,NA,-0.0058,-0.0027,-2e-4,-0.0043,-6e-4,NA
323980,8COMMON LTD,0.096,0.12,0.165,0.097,0.075,0.041,-0.0095,-0.0048,-0.0069,-0.0114,-0.0147,-0.0114
347044,92 ENERGY LTD,NA,NA,0.765,0.525,0.325,NA,NA,NA,-0.1312,-0.1275,-0.1005,NA
277807,A-CAP ENERGY LTD,0.03,0.02,0.077,0.074,0.072,NA,-0.01,-0.0333,-7e-4,-0.0048,-0.0022,NA
274879,A.C.N. 112 682 158 LTD,NA,NA,NA,NA,NA,NA,-0.0121,NA,NA,NA,NA,NA
241372,A2B AUSTRALIA LTD,1.47,1.09,1.34,1.16,1.63,NA,0.0982,-0.1978,-0.1517,-0.2332,0.221,NA
247358,ABC LEARNING CENTER LTD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253414,ABILENE OIL AND GAS LTD,0.003,NA,NA,NA,NA,NA,-0.0027,NA,NA,NA,NA,NA
321565,ABUNDANT PRODUCE LTD,0.06,NA,NA,NA,NA,NA,-0.052,NA,NA,NA,NA,NA
293640,ABX GROUP LTD,0.079,0.1,0.185,0.11,0.055,NA,-0.017,-0.004,-0.0339,-0.0156,-0.0071,NA
253461,ACADEMIES AUSTRALASIA GROUP,0.68,0.27,0.24,0.325,0.31,0.14,0.0367,0.0287,-0.0097,-0.0102,-0.0212,-0.0737
326454,ACCELERATE RESOURC,0.044,0.068,0.039,0.035,0.025,0.009,-0.036,-0.0266,-0.0237,-0.0054,-0.0059,-0.0036
271338,ACCENT GROUP LTD,1.705,1.645,2.24,1.28,1.96,2.38,0.1002,0.1031,0.1421,0.0581,0.1616,0.1061
273904,ACCENT RESOURCES NL,0.003,0.01,0.055,0.025,0.008,0.006,-0.0152,-0.0112,-0.0064,-0.0049,-0.0065,-0.0084
355343,ACDC METALS LTD,NA,NA,NA,NA,0.074,0.058,NA,NA,NA,NA,-0.0249,-0.0069
289578,ACROW LIMITED,0.245,0.355,0.39,0.5,0.86,1.09,NA,NA,NA,NA,NA,NA
271011,ACRUX LTD,0.18,0.185,0.125,0.057,0.039,0.056,-0.05,-0.0565,-0.0575,-0.0346,-0.0027,-0.02
286869,ACTINOGEN MEDICAL LTD,0.009,0.027,0.125,0.089,0.02,0.024,-0.009,-0.0048,-0.0028,-0.0055,-0.006,-0.006
350183,ACTIVEPORT GROUP LTD,NA,NA,NA,0.065,0.125,0.041,NA,NA,NA,-0.0303,-0.0124,-0.0302
276602,ACTIVEX LIMITED,0.18,0.1,0.14,0.032,0.016,0.005,-0.0044,-0.0086,-0.0038,-0.0098,-0.0046,-0.0125
345651,ACUSENSUS LIMITED,NA,NA,NA,NA,0.78,0.83,NA,NA,NA,NA,0.0024,-0.0121
321030,AD1 HOLDINGS LTD,0.017,0.06,0.036,0.024,0.006,0.005,-0.015,-0.0041,-0.0039,-0.0042,-0.0123,-0.0015
235498,ADACEL TECHNOLOGIES LTD,0.45,0.65,1.265,0.69,0.56,0.495,-0.035,0.0471,0.0959,0.0427,-0.001,-0.0578
319886,ADAIRS LTD,1.9,3.25,4.05,1.81,1.405,2.07,0.1787,0.2105,0.377,0.2637,0.2198,0.1793
322535,ADALTA LTD,0.14,0.125,0.091,0.048,0.022,0.017,-0.05,-0.0366,-0.024,-0.0218,-0.0152,-0.0109
217880,ADAVALE RESOURCES LTD,0.009,0.039,0.065,0.031,0.012,0.002,-0.0055,-0.0037,-0.0086,-0.0141,-0.0101,-0.0057
100835,ADBRI LTD,2.07,3.48,3.03,1.585,3.13,NA,0.0726,0.1437,0.1788,0.1572,0.1422,NA
242565,ADCORP AUSTRALIA LTD,0.01,NA,NA,NA,NA,NA,-0.0042,NA,NA,NA,NA,NA
285044,ADELAIDE ENERGY LTD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284447,ADELONG GOLD LIMITED,0.002,0.006,0.004,0.001,0.007,0.004,-9e-4,-4e-4,-2e-4,-2e-4,-0.0016,-0.003
320284,ADHERIUM LTD,0.025,0.03,0.016,0.005,0.004,0.012,-0.0678,-0.0361,-0.0167,-0.0046,-0.0024,-0.0275
340329,ADISYN LTD,NA,NA,0.19,0.045,0.022,0.04,NA,NA,-0.0707,-0.0642,-0.0219,-0.0077
247362,ADMIRALTY RESOURCES NL,0.011,0.015,0.016,0.009,0.006,0.009,-0.001,-0.0013,-6e-4,-0.0027,-0.0016,-0.002
340394,ADORE BEAUTY GROUP LIMITED,NA,NA,4.61,1.33,0.735,1.02,NA,NA,0.0092,0.0253,-0.006,0.0232
332998,ADRABBIT LIMITED,0.18,0.105,0.014,0.01,NA,NA,NA,NA,NA,NA,NA,NA
354240,ADRAD HOLDINGS LTD,NA,NA,NA,1.545,0.95,0.73,NA,NA,NA,NA,0.0846,0.0736
327102,ADRIATIC METALS PLC,0.7,1.29,1.415,2.065,1.966,NA,NA,NA,NA,NA,NA,NA
207085,ADSLOT LTD,0.027,0.024,0.027,0.011,0.005,0.001,-0.0049,-0.0096,-0.0033,-0.0023,-0.0055,-0.0033
288229,ADVANCE METALS LIMITED,0.016,0.024,0.015,0.009,0.037,NA,-0.0081,-0.0038,-0.0037,-0.0029,-0.0234,NA
272228,ADVANCE ZINCTEK LTD,5.67,3.21,3.56,2.13,0.96,0.78,0.169,0.09,5e-4,0.0358,0.027,-0.0145
256542,ADVANCED BRAKING TECH LTD,0.026,0.033,0.037,0.03,0.044,0.075,-0.0061,5e-4,0.0016,0.0017,0.0039,0.0045
322717,ADVANCED HEALTH INTELLIGENCE,0.31,1.32,1.145,0.13,0.165,0.092,-0.0516,-0.0516,-0.112,-0.1475,-0.0694,-0.0163
324055,ADVANCETC LTD,0.865,1,0.355,0.0949,0.006,NA,0.0084,-0.0135,-0.0124,-0.0134,-0.0134,NA
315809,ADVERITAS LTD,0.135,0.125,0.1,0.077,0.047,0.078,-0.051,-0.0468,-0.026,-0.0214,-0.0223,-0.0166
247526,ADX ENERGY LTD,0.005,0.01,0.008,0.006,0.125,NA,-8e-4,-0.0025,-0.0016,-7e-4,-0.0112,NA
319493,AEERIS LTD,0.135,0.1,0.15,0.135,0.1,0.068,-0.0044,-0.0026,0.0078,-0.0031,-0.0026,-0.0082
285012,AEON METALS LTD,0.155,0.11,0.057,0.03,0.015,NA,-0.0066,-0.008,-0.0088,-0.0042,-0.0032,NA
253299,AERIS ENVIRONMENTAL LTD,0.25,0.505,0.14,0.04,0.022,0.098,-0.0198,0.009,-0.0241,-0.0292,-0.0149,-0.0121
296578,AERIS RESOURCES LTD,0.055,0.053,0.165,0.42,0.18,0.235,-0.031,-0.0743,0.0321,0.0025,-0.2023,-0.0286
348988,AERISON GROUP LIMITED,NA,NA,0.17,0.1,NA,NA,NA,NA,0.0196,-0.0348,NA,NA
