item_id|title|category|start_time|end_time|seller_user_id|final_price|winner_id
AUC00000|Samsung Galaxy S22|Electronics|2025-07-19T00:00:00Z|2025-07-20T00:00:00Z|pray|161.57|smithkayla
AUC00001|Casio G-Shock Watch|Fashion|2025-04-24T00:00:00Z|2025-04-27T00:00:00Z|vgomez|135.53|mayercheyenne
AUC00002|Louis Vuitton Neverfull Bag (Like New)|Fashion|2025-03-20T00:00:00Z|2025-03-22T00:00:00Z|rodrigueznicholas|37.19|jessica58
AUC00003|The Great Gatsby (Rare)|Books|2025-03-24T00:00:00Z|2025-03-26T00:00:00Z|tylercook|218.83|richardsonronald
AUC00004|Monopoly Classic Edition (2022 Model)|Toys & Games|2025-08-14T00:00:00Z|2025-08-15T00:00:00Z|benjamin55|91.82|thomassheri
AUC00005|Dyson V11 Vacuum Cleaner (2022 Model)|Home & Garden|2025-06-25T00:00:00Z|2025-06-28T00:00:00Z|khuff|107.92|daniel73
AUC00006|LEGO Star Wars Millennium Falcon (2022 Model)|Toys & Games|2025-08-15T00:00:00Z|2025-08-18T00:00:00Z|cespinoza|120.55|bradleycarol
AUC00007|LEGO Star Wars Millennium Falcon (2022 Model)|Toys & Games|2025-03-18T00:00:00Z|2025-03-19T00:00:00Z|jameslane|70.93|lopezchristine
AUC00008|Vintage Concert Poster|Collectibles|2025-04-01T00:00:00Z|2025-04-04T00:00:00Z|pthomas|114.59|russell88
AUC00009|Apple Watch Series 8 (Used)|Electronics|2025-08-05T00:00:00Z|2025-08-07T00:00:00Z|iwilkerson|105.63|xcarson
AUC00010|Harry Potter and the Philosopher's Stone (1st Ed.)|Books|2025-04-14T00:00:00Z|2025-04-16T00:00:00Z|lisasanders|133.6|karen97
AUC00011|Sapiens: A Brief History of Humankind (Like New)|Books|2025-06-03T00:00:00Z|2025-06-05T00:00:00Z|fishertracy|97.27|haleyaustin
AUC00012|Rare Pokémon Charizard Card (2022 Model)|Collectibles|2025-03-01T00:00:00Z|2025-03-04T00:00:00Z|robertswendy|261.98|osmith
AUC00013|Nespresso Vertuo Coffee Machine|Home & Garden|2025-07-14T00:00:00Z|2025-07-16T00:00:00Z|steventhomas|141.33|joelutz
AUC00014|Monopoly Classic Edition (2022 Model)|Toys & Games|2025-05-07T00:00:00Z|2025-05-10T00:00:00Z|brandirobertson|78.64|erica30
AUC00015|To Kill a Mockingbird (Rare)|Books|2025-05-23T00:00:00Z|2025-05-26T00:00:00Z|martin69|126.77|mward
AUC00016|Zara Wool Coat (Used)|Fashion|2025-03-26T00:00:00Z|2025-03-27T00:00:00Z|jbuckley|177.46|allenbrittany
AUC00017|Nespresso Vertuo Coffee Machine (Used)|Home & Garden|2025-06-28T00:00:00Z|2025-06-29T00:00:00Z|pmoore|188.71|carlos56
AUC00018|GoPro Hero 10 (2022 Model)|Electronics|2025-08-02T00:00:00Z|2025-08-03T00:00:00Z|juliayates|210.24|qbanks
AUC00019|Michael Jordan Rookie Card (Rare)|Collectibles|2025-04-29T00:00:00Z|2025-05-02T00:00:00Z|derrickross|49.15|dsantiago
AUC00020|Dell XPS 13 Laptop|Electronics|2025-03-02T00:00:00Z|2025-03-04T00:00:00Z|thomasfrost|38.6|jennifer46
AUC00021|Louis Vuitton Neverfull Bag (Rare)|Fashion|2025-02-14T00:00:00Z|2025-02-16T00:00:00Z|michellethomas|82.11|richardmccarthy
AUC00022|To Kill a Mockingbird|Books|2025-07-23T00:00:00Z|2025-07-24T00:00:00Z|belljeffrey|143.81|fgarcia
AUC00023|Apple iPhone 13 Pro (Rare)|Electronics|2025-03-25T00:00:00Z|2025-03-27T00:00:00Z|paulbarnett|211.5|rodriguezkimberly
AUC00024|Sapiens: A Brief History of Humankind|Books|2025-01-24T00:00:00Z|2025-01-26T00:00:00Z|zsimon|141.46|hjohnson
