item_id|bidder_id|bid_amount|bid_time
AUC00000|istevens|94.61|2025-07-19T00:00:00Z
AUC00000|mendozajasmine|97.73|2025-07-19T00:00:00Z
AUC00000|james22|103.28|2025-07-19T00:00:00Z
AUC00000|wnunez|119.04|2025-07-19T00:00:00Z
AUC00000|paynejoshua|123.86|2025-07-19T00:00:00Z
AUC00000|yolanda40|127.3|2025-07-19T00:00:00Z
AUC00000|julie11|122.36|2025-07-19T00:00:00Z
AUC00000|pbrown|103.2|2025-07-20T00:00:00Z
AUC00000|aklein|156.74|2025-07-20T00:00:00Z
AUC00000|bjones|177.3|2025-07-20T00:00:00Z
AUC00000|qchen|155.73|2025-07-20T00:00:00Z
AUC00000|smithkayla|161.57|2025-07-20T00:00:00Z
AUC00001|qklein|97.48|2025-04-24T00:00:00Z
AUC00001|hmullins|105.83|2025-04-24T00:00:00Z
AUC00001|mjones|103.08|2025-04-24T00:00:00Z
AUC00001|johnsondavid|124.66|2025-04-24T00:00:00Z
AUC00001|yjennings|122.02|2025-04-24T00:00:00Z
AUC00001|jane43|129.85|2025-04-24T00:00:00Z
AUC00001|joshuamartin|103.91|2025-04-24T00:00:00Z
AUC00001|kathyking|166.49|2025-04-24T00:00:00Z
AUC00001|jesse98|142.47|2025-04-24T00:00:00Z
AUC00001|byrdamanda|108.18|2025-04-24T00:00:00Z
AUC00001|huntwendy|127.15|2025-04-24T00:00:00Z
AUC00001|osmith|145.82|2025-04-24T00:00:00Z
AUC00001|kmorgan|174.14|2025-04-25T00:00:00Z
AUC00001|mayercheyenne|135.53|2025-04-25T00:00:00Z
AUC00002|pamela98|26.31|2025-03-20T00:00:00Z
AUC00002|brookserin|35.51|2025-03-20T00:00:00Z
AUC00002|michael81|42.36|2025-03-20T00:00:00Z
AUC00002|gkelley|38.43|2025-03-20T00:00:00Z
AUC00002|jessica58|37.19|2025-03-20T00:00:00Z
AUC00003|karalopez|63.39|2025-03-24T00:00:00Z
AUC00003|echurch|67.65|2025-03-24T00:00:00Z
AUC00003|trevorcook|81.76|2025-03-24T00:00:00Z
AUC00003|lbates|70.06|2025-03-25T00:00:00Z
AUC00003|zacharymullins|70.55|2025-03-25T00:00:00Z
AUC00003|shane34|79.31|2025-03-25T00:00:00Z
AUC00003|garciaruth|104.35|2025-03-25T00:00:00Z
AUC00003|zharris|77.54|2025-03-25T00:00:00Z
AUC00003|kimberlygordon|100.43|2025-03-25T00:00:00Z
AUC00003|fmiller|120.11|2025-03-25T00:00:00Z
AUC00003|ramseychristina|106.85|2025-03-25T00:00:00Z
AUC00003|lopezgerald|131.31|2025-03-25T00:00:00Z
AUC00003|vasquezjacob|111.85|2025-03-25T00:00:00Z
AUC00003|sullivanstephanie|109.84|2025-03-25T00:00:00Z
AUC00003|brooksbrandon|146.66|2025-03-25T00:00:00Z
AUC00003|john38|106.1|2025-03-25T00:00:00Z
AUC00003|audrey33|89.84|2025-03-25T00:00:00Z
AUC00003|jlane|88.14|2025-03-25T00:00:00Z
AUC00003|fisherbianca|211.3|2025-03-25T00:00:00Z
AUC00003|zmays|85.8|2025-03-25T00:00:00Z
AUC00003|cooperdonald|260.96|2025-03-25T00:00:00Z
AUC00003|richardsonronald|218.83|2025-03-25T00:00:00Z
AUC00004|thomasjenkins|75.96|2025-08-15T00:00:00Z
AUC00004|george33|85.15|2025-08-15T00:00:00Z
AUC00004|nryan|87.43|2025-08-15T00:00:00Z
AUC00004|thomassheri|91.82|2025-08-15T00:00:00Z
AUC00005|morganbryan|85.91|2025-06-25T00:00:00Z
AUC00005|catherine34|94.12|2025-06-25T00:00:00Z
AUC00005|anthony90|101.29|2025-06-25T00:00:00Z
AUC00005|christinavilla|90.94|2025-06-25T00:00:00Z
AUC00005|daniel73|107.92|2025-06-25T00:00:00Z
AUC00006|cheryl05|32.88|2025-08-15T00:00:00Z
AUC00006|john04|38.27|2025-08-15T00:00:00Z
AUC00006|gregoryjulie|40.67|2025-08-15T00:00:00Z
AUC00006|johnsonpaul|43.33|2025-08-15T00:00:00Z
AUC00006|claytonward|43.9|2025-08-15T00:00:00Z
AUC00006|paulavila|43.17|2025-08-15T00:00:00Z
AUC00006|zachary83|75.59|2025-08-16T00:00:00Z
AUC00006|anne87|73.03|2025-08-16T00:00:00Z
AUC00006|mcconnelljoanna|43.26|2025-08-16T00:00:00Z
AUC00006|donna75|65.73|2025-08-16T00:00:00Z
AUC00006|joshuadonovan|52.73|2025-08-16T00:00:00Z
AUC00006|olandry|109.77|2025-08-16T00:00:00Z
AUC00006|jasminemeyer|145.73|2025-08-16T00:00:00Z
AUC00006|millerpaul|151.17|2025-08-16T00:00:00Z
AUC00006|bradleycarol|120.55|2025-08-16T00:00:00Z
AUC00007|rmedina|56.62|2025-03-18T00:00:00Z
AUC00007|waynepruitt|58.29|2025-03-18T00:00:00Z
