id,zone,state,gender,age_category,age
1,Pacific,Oregon,M,young,26
2,Eastern,New Jersey,M,medium,36
3,Central,Minnesota,M,young,17
4,Eastern,Michigan,M,medium,56
5,Eastern,New Jersey,M,medium,46
6,Mountain,New Mexico,M,medium,35
7,Central,Nebraska,F,,30
8,Eastern,Indiana,M,young,20
9,Mountain,Colorado,M,medium,45
10,Eastern,Ohio,F,medium,40
11,Eastern,New York,F,medium,40
12,Eastern,North Carolina,F,medium,51
13,Eastern,North Carolina,M,young,28
14,Pacific,California,F,medium,55
15,Central,Louisiana,M,young,22
16,Mountain,New Mexico,F,,30
17,Eastern,Kentucky,F,medium,37
18,Central,Louisiana,F,young,24
19,Central,Texas,M,medium,53
20,Eastern,Maryland,M,young,17
21,Central,Illinois,F,medium,43
22,Central,Louisiana,F,medium,38
23,Central,North Dakota,F,young,25
24,Central,Illinois,M,medium,37
25,Central,Alabama,F,young,20
26,Eastern,Maryland,F,medium,41
27,Eastern,Florida,M,medium,36
28,Eastern,Massachusetts,F,young,28
29,Central,Texas,F,medium,44
30,Mountain,New Mexico,F,young,21
31,Mountain,Arizona,F,young,21
32,Eastern,Massachusetts,M,young,28
33,Central,Iowa,F,young,29
34,Eastern,New York,F,medium,48
35,Central,Missouri,M,medium,56
36,Central,Oklahoma,M,medium,40
37,Central,Oklahoma,F,medium,46
38,Eastern,Ohio,M,medium,46
39,Central,Alabama,F,young,21
40,Eastern,Pennsylvania,F,medium,57
41,Eastern,North Carolina,M,medium,42
42,Central,Illinois,F,young,19
43,Eastern,Michigan,F,medium,49
44,Eastern,Indiana,M,,30
45,Mountain,Arizona,F,medium,34
46,Mountain,Arizona,F,medium,35
47,Eastern,New York,M,young,28
48,Mountain,Colorado,M,medium,34
49,Mountain,Colorado,F,,30
50,Central,Illinois,M,old,62
51,Central,Illinois,M,,30
52,Eastern,North Carolina,M,medium,39
53,Central,Arkansas,M,,30
54,Pacific,Oregon,F,young,25
55,Central,Iowa,M,medium,31
56,Mountain,Arizona,F,medium,40
57,Mountain,Arizona,F,medium,35
58,Mountain,New Mexico,M,medium,56
59,Central,Tennessee,F,young,24
60,Eastern,New Jersey,F,medium,50
61,Eastern,New York,M,medium,53
62,Central,Minnesota,M,old,63
63,Eastern,New York,F,young,24
