gm,date,tm,h_a,opp,result,r,ra,inn,record,rank,gb,win,loss,save,time,d_n,attendance,c_li,streak,orig_scheduled,year
1,2022-04-07,CHC,H,MIL,W,5,4,NA,1-0,1,Tied,Givens,Ashby,Robertson,03:18:00,D,35112,1,1,NA,2022
2,2022-04-09,CHC,H,MIL,W,9,0,NA,2-0,1,Tied,Steele,Woodruff,NA,03:28:00,D,30369,1.01,2,NA,2022
3,2022-04-10,CHC,H,MIL,L,4,5,NA,2-1,1,Tied,Cousins,Norris,Hader,03:03:00,D,32858,1.07,-1,NA,2022
10,2022-04-18,CHC,H,TBR,W,4,2,NA,6-4,1,Tied,Thompson,Adam,Robertson,02:43:00,N,26615,0.95,2,NA,2022
11,2022-04-19,CHC,H,TBR,L,5,6,NA,6-5,3,1.0,Fleming,Steele,Kittredge,03:09:00,N,26568,0.97,-1,NA,2022
12,2022-04-20,CHC,H,TBR,L,2,8,6,6-6,3,2.0,Beeks,Stroman,NA,02:07:00,N,26167,0.93,-2,NA,2022
13,2022-04-21,CHC,H,PIT,L,3,4,NA,6-7,3,2.0,Crowe,Roberts,Stratton,03:35:00,N,32341,0.97,-3,NA,2022
14,2022-04-22,CHC,H,PIT,L,2,4,NA,6-8,4,3.0,De Jong,Smyly,Stratton,03:08:00,N,25005,0.95,-4,NA,2022
15,2022-04-23,CHC,H,PIT,W,21,0,NA,7-8,3,3.0,Hendricks,Thompson,NA,02:47:00,D,39917,0.88,1,NA,2022
16,2022-04-24,CHC,H,PIT,L,3,4,NA,7-9,4,3.0,Peters,Steele,Bednar,03:37:00,D,28387,0.94,-1,NA,2022
23,2022-05-03,CHC,H,CHW,L,1,3,NA,9-14,4,6.5,López,Effross,Hendriks,03:01:00,N,34206,0.7,-1,NA,2022
24,2022-05-04,CHC,H,CHW,L,3,4,NA,9-15,4,7.5,Giolito,Hendricks,Hendriks,03:05:00,N,36755,0.64,-2,NA,2022
25,2022-07-01,CHC,H,LAD,L,0,7,NA,9-16,4,9.0,Kershaw,Smyly,NA,02:43:00,D,37594,0.59,-3,2022-05-06 (Rain),2022
26,2022-07-02,CHC,H,LAD,L,2,6,NA,9-17,4,9.0,Anderson,Norris,NA,03:05:00,N,31520,0.54,-4,NA,2022
27,2022-05-08,CHC,H,LAD,L,1,7,NA,9-18,4,9.0,Buehler,Steele,NA,02:57:00,N,31424,0.49,-5,NA,2022
34,2022-05-16,CHC,H,PIT,W,9,0,NA,14-20,4,8.0,Miley,Peters,NA,02:29:00,N,31119,0.6,3,NA,2022
35,2022-05-17,CHC,H,PIT,W,7,0,NA,15-20,3,7.0,Thompson,Brubaker,NA,02:38:00,N,30478,0.65,4,NA,2022
36,2022-05-18,CHC,H,PIT,L,2,3,NA,15-21,4,8.0,Keller,Smyly,Bednar,03:02:00,N,31631,0.67,-1,NA,2022
37,2022-05-19,CHC,H,ARI,L,1,3,NA,15-22,4,8.5,Gallen,Stroman,Melancon,03:10:00,N,32631,0.61,-2,NA,2022
38,2022-05-20,CHC,H,ARI,L,6,10,NA,15-23,4,9.5,Castellanos,Hendricks,NA,03:06:00,D,31235,0.54,-3,NA,2022
39,2022-05-21,CHC,H,ARI,L,6,7,10,15-24,4,10.5,Kennedy,Wick,Melancon,03:42:00,D,32269,0.5,-4,NA,2022
40,2022-05-22,CHC,H,ARI,W,5,4,NA,16-24,3,9.5,Thompson,Kennedy,NA,02:43:00,D,32606,0.44,1,NA,2022
47,NA,CHC,H,MIL,L,6,7,NA,19-28,4,12.0,Sánchez,Norris,Hader,03:17:00,D,39305,0.5,-2,2022-04-08 (Rain),2022
48,NA,CHC,H,MIL,L,1,3,NA,19-29,4,12.0,Ashby,Espinoza,Hader,02:52:00,N,28620,0.43,-3,NA,2022
49,2022-05-31,CHC,H,MIL,W,8,7,NA,20-29,4,11.0,Givens,Boxberger,Robertson,03:33:00,N,30596,0.36,1,NA,2022
50,2022-06-01,CHC,H,MIL,W-wo,4,3,10,21-29,4,10.0,Leiter,Milner,NA,03:03:00,N,33398,0.42,2,NA,2022
51,2022-06-02,CHC,H,STL,W,7,5,NA,22-29,4,10.0,Thompson,Liberatore,NA,03:04:00,N,30466,0.46,3,NA,2022
52,2022-06-03,CHC,H,STL,L,5,14,NA,22-30,4,10.0,Mikolas,Stroman,Thompson,03:14:00,D,32482,0.54,-1,NA,2022
53,2022-04-01,CHC,H,STL,W,6,1,NA,23-30,4,9.5,Swarmer,Oviedo,NA,03:05:00,D,32792,0.45,1,NA,2022
54,2022-04-02,CHC,H,STL,L,4,7,10,23-31,4,9.5,Gallegos,Rucker,NA,04:11:00,N,31673,0.49,-1,NA,2022
55,2022-06-05,CHC,H,STL,L,3,5,11,23-32,4,9.5,Cabrera,Norris,NA,03:44:00,N,31424,0.45,-2,NA,2022
60,2022-06-13,CHC,H,SDP,L,1,4,NA,23-37,4,11.0,Darvish,Wick,Rogers,02:45:00,N,31629,0.2,-7,NA,2022
61,2022-06-14,CHC,H,SDP,L,5,12,NA,23-38,4,12.5,Tyler,Effross,NA,03:13:00,N,29233,0.18,-8,NA,2022
62,2022-06-15,CHC,H,SDP,L,5,19,NA,23-39,4,12.5,Stammen,Kilian,NA,03:46:00,N,31570,0.12,-9,NA,2022
63,2022-06-16,CHC,H,SDP,L,4,6,NA,23-40,4,13.0,Musgrove,Swarmer,Rogers,03:03:00,D,30096,0.11,-10,NA,2022
64,2022-06-17,CHC,H,ATL,W,1,0,NA,24-40,4,12.0,Martin,Minter,Robertson,02:40:00,D,35676,0.1,1,NA,2022
