"gvkey","conm","fyear","measure_name","measure_value"
"013312","BHP GROUP LTD","2024","at",102362
"013312","BHP GROUP LTD","2024","sale",55658
"013312","BHP GROUP LTD","2024","ebit",22771
"210216","TELSTRA GROUP LIMITED","2024","at",45550
"210216","TELSTRA GROUP LIMITED","2024","sale",22928
"210216","TELSTRA GROUP LIMITED","2024","ebit",3712
"223003","CSL LTD","2024","at",38022
"223003","CSL LTD","2024","sale",14690
"223003","CSL LTD","2024","ebit",3896
"212650","TRANSURBAN GROUP","2024","at",36694
"212650","TRANSURBAN GROUP","2024","sale",4119
"212650","TRANSURBAN GROUP","2024","ebit",1132
"100894","WOOLWORTHS GROUP LTD","2024","at",33936
"100894","WOOLWORTHS GROUP LTD","2024","sale",67922
"100894","WOOLWORTHS GROUP LTD","2024","ebit",3100
"212427","FORTESCUE LTD","2024","at",30060
"212427","FORTESCUE LTD","2024","sale",18220
"212427","FORTESCUE LTD","2024","ebit",8520
"101601","WESFARMERS LTD","2024","at",27309
"101601","WESFARMERS LTD","2024","sale",44189
"101601","WESFARMERS LTD","2024","ebit",3849
"226744","RAMSAY HEALTH CARE LTD","2024","at",20894
"226744","RAMSAY HEALTH CARE LTD","2024","sale",16660.2
"226744","RAMSAY HEALTH CARE LTD","2024","ebit",938.7
"220244","QANTAS AIRWAYS LTD","2024","at",20564
"220244","QANTAS AIRWAYS LTD","2024","sale",20114
"220244","QANTAS AIRWAYS LTD","2024","ebit",2198
"017525","ORIGIN ENERGY LTD","2024","at",20454
"017525","ORIGIN ENERGY LTD","2024","sale",16138
"017525","ORIGIN ENERGY LTD","2024","ebit",952
"329498","COLES GROUP LTD","2024","at",19870
"329498","COLES GROUP LTD","2024","sale",43571
"329498","COLES GROUP LTD","2024","ebit",1965
"242536","APA GROUP","2024","at",19563
"242536","APA GROUP","2024","sale",3039
"242536","APA GROUP","2024","ebit",1850
"252290","BLUESCOPE STEEL LTD","2024","at",15678
"252290","BLUESCOPE STEEL LTD","2024","sale",17055.3
"252290","BLUESCOPE STEEL LTD","2024","ebit",1303.6
"100251","AGL ENERGY","2024","at",15661
"100251","AGL ENERGY","2024","sale",13583
"100251","AGL ENERGY","2024","ebit",1414
"207097","SONIC HEALTHCARE LTD","2024","at",14826.474
"207097","SONIC HEALTHCARE LTD","2024","sale",8967.405
"207097","SONIC HEALTHCARE LTD","2024","ebit",863.954
"319687","SOUTH32 LTD","2024","at",14245
"319687","SOUTH32 LTD","2024","sale",5479
"319687","SOUTH32 LTD","2024","ebit",54
"208326","SGH LIMITED","2024","at",13604.1
"208326","SGH LIMITED","2024","sale",10558.5
"208326","SGH LIMITED","2024","ebit",1207.3
"259625","NTHN STAR RES LTD","2024","at",13080.8
"259625","NTHN STAR RES LTD","2024","sale",4921.2
"259625","NTHN STAR RES LTD","2024","ebit",961.8
"284808","WHITEHAVEN COAL LIMITED","2024","at",12852
"284808","WHITEHAVEN COAL LIMITED","2024","sale",3824
"284808","WHITEHAVEN COAL LIMITED","2024","ebit",969
"205194","MINERAL RESOURCES LTD","2024","at",12232
"205194","MINERAL RESOURCES LTD","2024","sale",5278
"205194","MINERAL RESOURCES LTD","2024","ebit",319
"348897","ENDEAVOUR GROUP LIMITED","2024","at",11783
"348897","ENDEAVOUR GROUP LIMITED","2024","sale",12309
"348897","ENDEAVOUR GROUP LIMITED","2024","ebit",1055
"295910","AURIZON HOLDINGS LTD","2024","at",11596
"295910","AURIZON HOLDINGS LTD","2024","sale",3841
"295910","AURIZON HOLDINGS LTD","2024","ebit",922
"254665","WORLEY LTD","2024","at",10464
"254665","WORLEY LTD","2024","sale",11789
"254665","WORLEY LTD","2024","ebit",653
"104566","SOUL PATTINSON WASH H & CO","2024","at",10397.7
"104566","SOUL PATTINSON WASH H & CO","2024","sale",1034.5
"104566","SOUL PATTINSON WASH H & CO","2024","ebit",376.8
"212628","ARISTOCRAT LEISURE LTD","2024","at",10303.4
"212628","ARISTOCRAT LEISURE LTD","2024","sale",6603.6
"212628","ARISTOCRAT LEISURE LTD","2024","ebit",1930.8
"100442","ORICA LTD","2024","at",9598.3
"100442","ORICA LTD","2024","sale",7662.8
"100442","ORICA LTD","2024","ebit",708.7
"253350","EVOLUTION MINING LTD","2024","at",8818.841
"253350","EVOLUTION MINING LTD","2024","sale",3215.832
"253350","EVOLUTION MINING LTD","2024","ebit",824.861
"100461","BRAMBLES LTD","2024","at",8731.1
"100461","BRAMBLES LTD","2024","sale",6545.4
"100461","BRAMBLES LTD","2024","ebit",1200.6
"257860","INCITEC PIVOT LTD","2024","at",8398.4
"257860","INCITEC PIVOT LTD","2024","sale",5278.5
"257860","INCITEC PIVOT LTD","2024","ebit",410.6
"297352","TREASURY WINE ESTATES LTD","2024","at",8112.8
"297352","TREASURY WINE ESTATES LTD","2024","sale",2808.3
"297352","TREASURY WINE ESTATES LTD","2024","ebit",287.9
"203007","HARVEY NORMAN HLDGS LTD","2024","at",7927.867
"203007","HARVEY NORMAN HLDGS LTD","2024","sale",2803.358
"203007","HARVEY NORMAN HLDGS LTD","2024","ebit",660.727
"101605","REECE LTD","2024","at",7094.869
"101605","REECE LTD","2024","sale",9104.772
"101605","REECE LTD","2024","ebit",674.403
"241380","DOWNER EDI LTD","2024","at",6748.2
"241380","DOWNER EDI LTD","2024","sale",10979.5
"241380","DOWNER EDI LTD","2024","ebit",283.3
"272847","CLEANAWAY WASTE MGMT LTD","2024","at",6372.5
"272847","CLEANAWAY WASTE MGMT LTD","2024","sale",3758.2
"272847","CLEANAWAY WASTE MGMT LTD","2024","ebit",329.2
"282382","QUBE HOLDINGS LTD","2024","at",6103.4
"282382","QUBE HOLDINGS LTD","2024","sale",3331.4
"282382","QUBE HOLDINGS LTD","2024","ebit",310.6
"316825","ORORA LTD","2024","at",5992.7
"316825","ORORA LTD","2024","sale",4697.6
"316825","ORORA LTD","2024","ebit",404
"209933","BRICKWORKS LTD","2024","at",5842.575
"209933","BRICKWORKS LTD","2024","sale",1089.414
"209933","BRICKWORKS LTD","2024","ebit",20.444
"315882","STEADFAST GROUP LTD","2024","at",5705.8
"315882","STEADFAST GROUP LTD","2024","sale",1715.3
"315882","STEADFAST GROUP LTD","2024","ebit",468
"101392","BEACH ENERGY LTD","2024","at",5499.2
"101392","BEACH ENERGY LTD","2024","sale",1797.6
"101392","BEACH ENERGY LTD","2024","ebit",-594
"296254","NEXTDC LTD","2024","at",5216.697
"296254","NEXTDC LTD","2024","sale",404.337
"296254","NEXTDC LTD","2024","ebit",28.504
"208079","SIMS LTD","2024","at",4904.7
"208079","SIMS LTD","2024","sale",7224
"208079","SIMS LTD","2024","ebit",-89.2
"284805","ASCIANO LTD","2024","at",4770.9
"284805","ASCIANO LTD","2024","sale",2261.5
"284805","ASCIANO LTD","2024","ebit",170
"272775","SEEK LTD","2024","at",4754.7
"272775","SEEK LTD","2024","sale",1084.1
"272775","SEEK LTD","2024","ebit",299.2
"292734","CAR GROUP LTD","2024","at",4668.536
"292734","CAR GROUP LTD","2024","sale",1098.724
"292734","CAR GROUP LTD","2024","ebit",413.082
"326703","L1 LONG SHORT FUND","2024","at",4477.73
"326703","L1 LONG SHORT FUND","2024","sale",117.288
"326703","L1 LONG SHORT FUND","2024","ebit",NA
"101613","NUFARM LTD","2024","at",4427.414
"101613","NUFARM LTD","2024","sale",3345.909
"101613","NUFARM LTD","2024","ebit",60.065
"353070","LOTTERY CORPORATION LTD","2024","at",4364.2
"353070","LOTTERY CORPORATION LTD","2024","sale",3996.6
"353070","LOTTERY CORPORATION LTD","2024","ebit",716.2
"286945","PILBARA MINERALS LTD","2024","at",4309.245
"286945","PILBARA MINERALS LTD","2024","sale",1254.118
"286945","PILBARA MINERALS LTD","2024","ebit",396.252
"207300","FLIGHT CENTRE TRAVEL GROUP","2024","at",4214.281
"207300","FLIGHT CENTRE TRAVEL GROUP","2024","sale",2710.748
"207300","FLIGHT CENTRE TRAVEL GROUP","2024","ebit",257.351
"274487","AUB GROUP LTD","2024","at",4049.25
"274487","AUB GROUP LTD","2024","sale",1014.134
"274487","AUB GROUP LTD","2024","ebit",223.936
"314884","NINE ENTERTAINMENT CO HLDGS","2024","at",4004.083
"314884","NINE ENTERTAINMENT CO HLDGS","2024","sale",2629.81
"314884","NINE ENTERTAINMENT CO HLDGS","2024","ebit",336.932
"253358","WESTERN AREAS LTD","2024","at",3566.8
"253358","WESTERN AREAS LTD","2024","sale",844.1
"253358","WESTERN AREAS LTD","2024","ebit",-394.3
"253596","IGO LTD","2024","at",3566.8
"253596","IGO LTD","2024","sale",841.3
"253596","IGO LTD","2024","ebit",-592.6
"258858","JB HI-FI","2024","at",3486.6
"258858","JB HI-FI","2024","sale",9592.4
"258858","JB HI-FI","2024","ebit",645.4
"267188","CUSCAL LIMITED","2024","at",3477.1
"267188","CUSCAL LIMITED","2024","sale",463.6
"267188","CUSCAL LIMITED","2024","ebit",153.2
"258444","NEW HOPE CORP LTD","2024","at",3468.571
"258444","NEW HOPE CORP LTD","2024","sale",1802.206
"258444","NEW HOPE CORP LTD","2024","ebit",706.153
"222202","TABCORP HOLDINGS LTD","2024","at",3385.3
"222202","TABCORP HOLDINGS LTD","2024","sale",2338.9
"222202","TABCORP HOLDINGS LTD","2024","ebit",-48.3
"210805","PERENTI LTD","2024","at",3355.798
"210805","PERENTI LTD","2024","sale",3342.02
"210805","PERENTI LTD","2024","ebit",240.63
"317261","SG FLEET GROUP LTD","2024","at",3342.233
"317261","SG FLEET GROUP LTD","2024","sale",1127.212
"317261","SG FLEET GROUP LTD","2024","ebit",221.324
"270502","SUPER RETAIL GROUP LTD","2024","at",3263.3
"270502","SUPER RETAIL GROUP LTD","2024","sale",3882.6
"270502","SUPER RETAIL GROUP LTD","2024","ebit",389.2
"014242","ANSELL LTD","2024","at",3242.6
"014242","ANSELL LTD","2024","sale",1619.3
"014242","ANSELL LTD","2024","ebit",195.5
"260564","SANDFIRE RESOURCES LTD","2024","at",2996.798
"260564","SANDFIRE RESOURCES LTD","2024","sale",935.188
"260564","SANDFIRE RESOURCES LTD","2024","ebit",49.457
"241405","HEALIUS LTD","2024","at",2982.8
"241405","HEALIUS LTD","2024","sale",1746.2
"241405","HEALIUS LTD","2024","ebit",65.5
"241386","GRAINCORP LTD","2024","at",2904.9
"241386","GRAINCORP LTD","2024","sale",6506.8
"241386","GRAINCORP LTD","2024","ebit",21.7
"321501","WISETECH GLOBAL LTD","2024","at",2827.1
"321501","WISETECH GLOBAL LTD","2024","sale",1041.7
"321501","WISETECH GLOBAL LTD","2024","ebit",388.4
"212658","LYNAS RARE EARTHS LIMITED","2024","at",2804.921
"212658","LYNAS RARE EARTHS LIMITED","2024","sale",463.285
"212658","LYNAS RARE EARTHS LIMITED","2024","ebit",61.787
"351224","APM HUMAN SERVICES INTL LTD","2024","at",2790.929
"351224","APM HUMAN SERVICES INTL LTD","2024","sale",2294.403
"351224","APM HUMAN SERVICES INTL LTD","2024","ebit",132.482
"212635","COCHLEAR LTD","2024","at",2745.1
"212635","COCHLEAR LTD","2024","sale",2235.6
"212635","COCHLEAR LTD","2024","ebit",509.6
"248015","REA GROUP LTD","2024","at",2655
"248015","REA GROUP LTD","2024","sale",1677
"248015","REA GROUP LTD","2024","ebit",711.1
"200157","EVT LIMITED","2024","at",2610.991
"200157","EVT LIMITED","2024","sale",1191.38
"200157","EVT LIMITED","2024","ebit",92.34
"273011","DOMINOS PIZZA ENTERPRISES LT","2024","at",2592.789
"273011","DOMINOS PIZZA ENTERPRISES LT","2024","sale",2376.699
"273011","DOMINOS PIZZA ENTERPRISES LT","2024","ebit",187.784
"220243","PREMIER INVESTMENTS LTD","2024","at",2523.533
"220243","PREMIER INVESTMENTS LTD","2024","sale",1617.336
"220243","PREMIER INVESTMENTS LTD","2024","ebit",344.652
"275186","EML PAYMENTS LTD","2024","at",2483.889
"275186","EML PAYMENTS LTD","2024","sale",217.342
"275186","EML PAYMENTS LTD","2024","ebit",-2.534
"322802","INGHAMS GROUP LTD","2024","at",2400
"322802","INGHAMS GROUP LTD","2024","sale",3262
"322802","INGHAMS GROUP LTD","2024","ebit",225.9
"316292","KELSIAN GROUP LIMITED","2024","at",2399.53
"316292","KELSIAN GROUP LIMITED","2024","sale",2016.811
"316292","KELSIAN GROUP LIMITED","2024","ebit",119.275
"270244","MYER HOLDINGS LIMITED","2024","at",2375.5
"270244","MYER HOLDINGS LIMITED","2024","sale",2438.1
"270244","MYER HOLDINGS LIMITED","2024","ebit",162.7
"293130","MYER HOLDINGS-OLD","2024","at",2375.5
"293130","MYER HOLDINGS-OLD","2024","sale",2438.1
"293130","MYER HOLDINGS-OLD","2024","ebit",161
"202362","ELDERS LTD","2024","at",2326.464
