id,Year1,Year2,Year3,Year4,Year5
1,0.519983402,0.60040363,0.583877967,0.561713283,0.553953811
2,0.214858975,0.251695838,0.045805894,0.625696489,0.396406433
3,0.031949903,0.879960461,0.362697468,0.273543285,0.70687671
4,0.817425011,0.550188101,0.851726346,0.869381557,0.593691225
5,0.742876235,0.109597967,0.89537491,0.031360356,0.20472127
6,0.438876146,0.554298141,0.749264225,0.581322109,0.027384143
7,0.747706268,0.901962894,0.501473038,0.612374586,0.640421377
8,0.371527527,0.886105117,0.941626495,0.819152158,0.244631089
9,0.482382896,0.119851228,0.559911356,0.491648753,0.267306001
10,0.542282732,0.806518291,0.78080355,0.295747891,0.720468938
