gvkey,conm,datadate,fyear,price,eps,pe
065790,BARBEQUES GALORE LTD  -ADR,31/1/1999,1998,,0.72,
101256,FISHER & PAYKEL HEALTHCARE,31/3/1999,1998,,,
104831,SPARK NEW ZEALAND LTD,31/3/1999,1998,,2.01,
013312,BHP GROUP LTD,31/5/1999,1998,,-1.74,
005302,LABYRINTH RESOURCES LIMITED,30/6/1999,1999,,-0.57,
014242,ANSELL LTD,30/6/1999,1999,,0.27,
017525,ORIGIN ENERGY LTD,30/6/1999,1999,,1.06,
018934,SYMBION HEALTH LTD,30/6/1999,1999,,4.73,
019731,ORBITAL CORP LTD,30/6/1999,1999,,-1.43,
031887,RESMED INC,30/6/1999,1999,,1.09,
062403,FLETCHER BUILDING LTD,30/6/1999,1999,,0.13,
100243,AMCOR PLC,30/6/1999,1999,,1.17,
104831,SPARK NEW ZEALAND LTD,30/6/1999,1999,,2.01,
117116,KAZIA THERAPEUTICS LIMITED,30/6/1999,1999,,-1,
210216,TELSTRA GROUP LIMITED,30/6/1999,1999,,3.58,
211588,NEW TEL LTD,30/6/1999,1999,,-0.78,
212639,PROGEN PHARMACEUTICALS LTD,30/6/1999,1999,,-0.28,
220235,CENTAUR MINING & EXPLORATION,30/6/1999,1999,,-0.13,
014977,COLES GROUP LTD - OLD,31/7/1999,1999,,1.83,
014802,NATIONAL AUSTRALIA BK,30/9/1999,1999,,6.09,
015362,WESTPAC BANKING CORP,30/9/1999,1999,,2.51,
015889,ANZ GROUP HOLDINGS LIMITED,30/9/1999,1999,,2.96,
010991,LIGHT & WONDER INC,31/10/1999,1999,,0.01,
016560,ALUMINA LTD,31/12/1999,1999,,0.63,
017535,RIO TINTO LTD,31/12/1999,1999,,3.744,
017744,CENTRAL PACIFIC MINERALS NL,31/12/1999,1999,,0,
019387,LAGUNA RESOURCES NL,31/12/1999,1999,,-0.01,
019565,RIO TINTO GROUP,31/12/1999,1999,,3.74,
019824,ANGLOGOLD ASHANTI PLC,31/12/1999,1999,,2.03,
