"gvkey","conm","price_2023","price_2024","eps_2023","eps_2024"
"327267","1414 DEGREES LTD",0.04,0.067,-0.0091,-0.0107
"349318","29METALS LIMITED",0.375,NA,-0.7986,NA
"284698","3D ENERGI LIMITED",0.056,0.07,0.0129,-0.0075
"317959","3P LEARNING LTD",1.27,1.02,0.023,-0.2077
"339106","4DMEDICAL LTD",0.45,0.675,-0.1049,-0.0971
"314650","4DS MEMORY LTD",0.135,0.084,-0.0038,-0.0031
"324960","5E ADVANCED MATERIALS INC",2.26,0.54,-0.7,-1.18
"325746","5G NETWORKS LIMITED",0.125,0.1475,-0.0579,-0.0836
"253429","88 ENERGY LTD",0.005,NA,-6e-04,NA
"323980","8COMMON LTD",0.075,0.041,-0.0147,-0.0114
"347044","92 ENERGY LTD",0.325,NA,-0.1005,NA
"277807","A-CAP ENERGY LTD",0.072,NA,-0.0022,NA
"241372","A2B AUSTRALIA LTD",1.63,NA,0.221,NA
"293640","ABX GROUP LTD",0.055,NA,-0.0071,NA
"253461","ACADEMIES AUSTRALASIA GROUP",0.31,0.14,-0.0212,-0.0737
"326454","ACCELERATE RESOURC",0.025,0.009,-0.0059,-0.0036
"271338","ACCENT GROUP LTD",1.96,2.38,0.1616,0.1061
"273904","ACCENT RESOURCES NL",0.008,0.006,-0.0065,-0.0084
"355343","ACDC METALS LTD",0.074,0.058,-0.0249,-0.0069
"271011","ACRUX LTD",0.039,0.056,-0.0027,-0.02
"286869","ACTINOGEN MEDICAL LTD",0.02,0.024,-0.006,-0.006
"350183","ACTIVEPORT GROUP LTD",0.125,0.041,-0.0124,-0.0302
"276602","ACTIVEX LIMITED",0.016,0.005,-0.0046,-0.0125
"345651","ACUSENSUS LIMITED",0.78,0.83,0.0024,-0.0121
"321030","AD1 HOLDINGS LTD",0.006,0.005,-0.0123,-0.0015
"235498","ADACEL TECHNOLOGIES LTD",0.56,0.495,-0.001,-0.0578
"319886","ADAIRS LTD",1.405,2.07,0.2198,0.1793
"322535","ADALTA LTD",0.022,0.017,-0.0152,-0.0109
"217880","ADAVALE RESOURCES LTD",0.012,0.002,-0.0101,-0.0057
"100835","ADBRI LTD",3.13,NA,0.1422,NA
"284447","ADELONG GOLD LIMITED",0.007,0.004,-0.0016,-0.003
"320284","ADHERIUM LTD",0.004,0.012,-0.0024,-0.0275
"340329","ADISYN LTD",0.022,0.04,-0.0219,-0.0077
"247362","ADMIRALTY RESOURCES NL",0.006,0.009,-0.0016,-0.002
