"gvkey","conm","2021","2022","2023","2024"
"005302","LABYRINTH RESOURCES LIMITED",0.034,0.02,0.006,0.017
"013312","BHP GROUP LTD",37.61,38.52,44.25,45.96
"014242","ANSELL LTD",34.2,25.19,22.13,31.81
"016602","THE IQ GROUP GLOBAL LTD",0.2,NA,NA,NA
"017525","ORIGIN ENERGY LTD",4.73,5.17,8.78,10.01
"018043","NEWS CORP",23.53,15.11,20.06,26.63
"019731","ORBITAL CORP LTD",0.65,0.215,0.16,0.079
"023681","SENEX ENERGY LTD",3.69,NA,NA,NA
"024433","ASTUTE METALS NL",0.004,0.004,0.037,0.027
"031887","RESMED INC",263.55,218.3,147.87,244.12
"033805","SPORTSHERO LIMITED",0.029,0.02,0.019,0.012
"037798","TRITIUM DCFC LTD",9.87,3.19,0.3028,NA
"039960","IRIS ENERGY LIMITED",NA,4.13,3.71,8.44
"040702","LOCAFY LTD",NA,0.3901,7.15,NA
"062403","FLETCHER BUILDING LTD",7.18,4.84,4.7,2.95
"100243","AMCOR PLC",9.65,10.5,8.3,9.908
"100251","AGL ENERGY",5.78,6.84,10.73,11.83
"100461","BRAMBLES LTD",10.77,11.41,14.32,19.03
"100800","MCPHERSONS LTD",1.08,0.77,0.43,0.405
"100894","WOOLWORTHS GROUP LTD",39.35,33.95,37.32,33.3
"101392","BEACH ENERGY LTD",1.495,1.485,1.64,1.215
"101513","ST BARBARA LTD",1.34,0.74,0.175,0.36
"101568","AMOTIV LIMITED",10.27,7.41,11.77,10.45
"101597","MACMAHON HOLDINGS LTD",0.2,0.15,0.17,0.325
"101601","WESFARMERS LTD",55.75,42.72,52.86,70.43
"101605","REECE LTD",19.13,14.02,18.63,28.5
"101742","GWA GROUP LTD",2.74,1.91,1.845,2.41
"102202","DEEP YELLOW LTD",0.93,0.81,1.315,1.375
"102234","AIR NEW ZEALAND LTD",1.63,0.715,0.73,0.53
"103084","NEWCREST MINING LTD",22.64,16.92,24.52,NA
"104831","SPARK NEW ZEALAND LTD",4.78,5,4.81,3.03
"104960","OVATO LTD",0.002,NA,NA,NA
"105117","SEVEN WEST MEDIA LTD",0.405,0.415,0.315,0.175
"117116","KAZIA THERAPEUTICS LIMITED",1.565,0.1825,0.165,0.4299
"200157","EVT LIMITED",15.26,12.97,11,10.78
"200729","BEYOND INTERNATIONAL GRP LTD",0.655,0.5,NA,NA
"200779","BLACKMORES LTD",95.08,62.98,NA,NA
"200782","HORIZON OIL LTD",0.09,0.1475,0.18,0.2
"200972","ORCODA LTD",0.155,0.064,0.3,0.195
"201317","COVENTRY GROUP LTD",1.49,1.23,1.05,1.26
"201349","TZ LTD",0.1,0.1,0.024,0.019
"201350","CUE ENERGY RESOURCES LTD",0.065,0.074,0.062,0.096
"201616","LACHLAN STAR LTD",0.032,0.014,0.009,0.115
"201669","BOTANIX PHARMACEUTICALS LTD",0.07,0.062,0.12,0.405
"201739","EBOS GROUP LTD",35.3,37.61,34.2,36.14
"202023","ENERGY WORLD CORP LTD",0.078,0.053,0.035,0.01
"202649","GROUP 6 METALS LTD",0.17,0.185,0.09,NA
