stock_id,tic,prc,ret,shrout,vol
10104,ORCL,111.7,0.063265,2748922,1711372
10107,MSFT,397.57999,0.057281,7430436,5256086
10138,TROW,108.45,0.007057,223938,319141
10145,HON,202.25999,-0.035525,652182,645959
10516,ADM,55.58,-0.230407,533381,1805810
10696,FI,141.87,0.067977,600186,533327
11308,KO,59.49,0.009503,4323414,2938936
11403,CDNS,288.45999,0.059074,272239,319854
11404,ED,90.9,-7.69E-04,345220,389573
11533,FICO,1198.82996,0.029914,24852,38521
11618,FAST,68.23,0.059441,572233,1012088
11674,DTE,105.42,-0.043896,206259,220688
11762,ETN,246.08,0.021842,399300,313214
11850,XOM,102.81,0.028306,3996774,4131932
11891,MGM,43.37,-0.02932,341583,876594
11955,WM,185.63,0.03646,402775,319349
12052,GD,264.98999,0.025571,273600,298398
12060,GE,132.42,0.03753,1088386,1073038
12062,LH,222.3,-0.021954,84900,143758
12084,NXPI,210.57001,-0.083203,257190,483148
12308,CHTR,370.70999,-0.046233,145225,235733
12345,LYB,94.12,-0.010097,324362,329382
12369,GM,38.8,0.080178,1154433,4211523
12431,TT,252.05,0.033415,227557,219815
12449,CPAY,289.92999,0.025901,72204,70745
12476,TRGP,84.96,-0.016231,222976,303537
12490,IBM,183.66,0.122959,913119,1298888
12558,KMI,16.92,-0.024802,2222774,3309307
12622,HCA,304.89999,0.126422,267661,265949
12623,HII,258.92001,-0.002773,39723,57332
12872,MPC,165.60001,0.116204,379697,666348
13035,XYL,112.44,-0.016789,241078,233097
13103,APTV,81.33,-0.093513,282862,657007
13210,EPAM,278.10999,-0.064674,57700,98225
13323,ENPH,104.13,-0.211972,135722,835881
13356,PSX,144.31,0.083897,439956,674462
13407,META,390.14001,0.102215,2200049,3428921
13447,NOW,765.40002,0.083384,205000,274657
13511,PANW,338.51001,0.147959,322700,651955
13586,PNR,73.17,0.00949,165299,370589
13641,FANG,153.74001,-0.008641,178724,344785
13688,PCG,16.87,-0.064337,2133508,3309897
13721,ABBV,164.39999,0.070852,1765537,1119929
13760,NCLH,17.8,-0.111777,425425,2483491
13788,ZTS,187.81,-0.046248,459114,394375
13856,PEP,168.53,-0.007713,1374000,1090817
13901,MO,40.12,-0.005454,1768647,1841088
13911,IQV,208.23,-0.100052,182500,216189
13928,COP,111.87,-0.036185,1187408,1113251
13949,CDW,226.72,-0.002639,134100,154592
13963,NWSA,24.64,0.003666,380210,497040
13964,NWS,25.57,-0.005832,191177,172848
14008,AMGN,314.26001,0.091105,535400,508192
14277,SLB,48.7,-0.064181,1427395,3182493
14297,ALLE,123.89,-0.022101,87788,144648
14338,HLT,190.96001,0.048712,256440,301893
14541,CVX,147.42999,-0.011598,1882048,1968540
14542,GOOG,141.8,0.006173,5671000,4225218
14579,PAYC,190.24001,-0.079721,60228,159890
14593,AAPL,184.39999,-0.042227,15441881,11805597
14702,AMAT,164.3,0.01376,830897,1353145
14714,ANET,258.67999,0.098382,311100,353404
14776,SYF,38.87,0.017806,413804,993485
14882,CZR,43.87,-0.064207,215801,641184
14889,CFG,32.7,-6.03E-04,466223,1193310
14939,KEYS,153.25999,-0.036646,182763,206562
15202,VMC,226.00999,-0.004405,132873,139471
15408,KHC,37.13,0.004056,1218000,1735495
15488,PYPL,61.35,-9.77E-04,1072000,4387605
15579,TXN,160.12,-0.053033,909288,1415424
15707,HPE,15.29,-0.099529,1300000,2807165
15720,EIX,67.48,-0.056092,383569,616107
15850,MTCH,38.38,0.051507,268890,1501574
16087,FTV,78.18,0.061796,351434,348802
16431,LW,102.44,-0.052271,144372,374821
16581,INVH,32.93,-0.034594,611958,676761
16600,HSY,193.53999,0.038082,149885,342079
16678,KR,46.14,0.009407,719423,822123
16692,IR,79.86,0.032584,404797,486740
16851,DD,61.8,-0.196672,430042,846997
17005,CVS,74.37,-0.049709,1286897,2993928
17144,GIS,64.91,0.005527,567890,875801
17307,VICI,30.12,-0.055207,1034532,1249304
17478,SPGI,448.35001,0.017775,316800,221947
17700,DAY,69.52,0.035757,156127,275622
17743,WRB,81.88,0.157805,256545,280881
17750,KMB,120.97,-0.004444,337941,461645
